2c96e486/8a236187/018a/3af9468b/47e4;BF1 E 23B;1;1158_2023
2c96949b/7ae6d80c/017a/e77ffdde/0155;BS KM 21B;KfzP;1158_2021
2c96e486/82a1dc73/0182/cf8f2793/1b30;BS EHI 24;1;1158_2024
2c96e486/7acded71/017b/7ca9428a/6ed0;BS EHE 22A;1;1158_statistik_2022
2c96949a/82c4171b/0182/ca7563f7/05e9;BS MAF 22+;MAF22;1158_2023
2c96e486/915515a9/0191/5a6f3478/3188;BGY 24B;Umwelt;1158_2024
2c96949a/7b62522a/017b/63118fe5/02ae;BS MTR 21A;1;1158_2022
2c9694af/7af5f629/017a/f67b0e9c/0111;BS IM 21;1;1158_statistik_2022
2c969491/82f2830b/0182/f37d5657/02ee;BS ML 22;ML22;1158_statistik_2023
2c96e486/7acded71/017b/7cba9cd2/272c;BGY 22;Medien;1158_2024
2c969491/8a21c8c9/018a/22316584/02da;Austritt 22-23;1;1158_2023
2c96949d/8a74024a/018a/83483893/0680;BS BR/KD 22;KD22;1158_2023
2c969491/7ae62dff/017a/e88f1408/0157;BS ML 21;ML21;1158_statistik_2023
2c969491/877902c2/0187/797719eb/0180;BS ZI 22;ZI22;1158_2023
2c96e486/8a236187/018a/4ad0d0cf/767e;BGY 23B;Bau;1158_statistik_2023
2c96949d/91552bac/0191/6f5ada1d/1289;BS MDP 24;DK;1158_2024
2c968186/67cbe214/0167/cbfb8970/6aad;FS APD 22;APD;1158_2022
2c96949a/8a3b1fbe/018a/3b5c6beb/0522;BS IM 23;1;1158_statistik_2023
2c96e486/7acded71/017b/8163436b/7201;BS KO 21A;1;1158_2023
2c969491/7b7bc074/017b/7bcf3444/004e;BS EHE 21B;1;1158_2022
2c96e486/7acded71/017b/7c965c63/5ea8;BGY 22A;Bau;1158_2022
2c9681fa/73fad7b4/0173/fcb324a3/06ce;BS KBK 19+;KFMKI20;1158_2022
2c9681fa/73bd23b6/0173/bd63b4ef/006e;BS KM 20C;KfzP;1158_statistik_2023
2c9694ae/830c103f/0183/0d798968/02c4;BS SYS 22;SG;1158_2023
2c96949d/88b891cb/0188/bde5483f/0122;BS MGDP 21;MKV;1158_2023
2c96e486/915515a9/0191/5a704abb/3431;BGY 24B;Medien;1158_2024
2c969491/7b768fde/017b/77ff0da7/0554;BS FVT 21;1;1158_statistik_2023
2c96949a/8a2b5ced/018a/2b96e5c9/01ae;BS FI 23A;FIA;1158_statistik_2023
2c96949a/859ad112/0185/9ad329ad/0004;BS FI 22A;FIA;1158_2023
2c96e486/8a236187/018a/4aca0a06/5f66;BGY 23C;Elektro;1158_2023
2c96e486/822f6a8a/0182/3f01b80c/3063;HBF IT 22B;1;1158_statistik_2022
2c969491/8a46018e/018a/46ad4cf5/0156;BS BGFG 23;TF23;1158_2023
2c96949d/8a3fefba/018a/403ad81b/03d2;BS KO 23B;1;1158_statistik_2023
2c9681ec/6a91f895/016a/92342bd5/009a;FS APZ 22;1;1158_statistik_2022
2c969491/7ae62dff/017a/e82c2f42/00ab;BS ML 21;ML21;1158_statistik_2021
2c96e486/822f6a8a/0182/3ec5a88a/7e41;HBF ME 22B;1;1158_2022
2c9681e7/73b81289/0173/b8b77da0/01a9;FS APD 20;1;1158_2021
2c96e486/8a236187/018a/3afec784/4f1d;BF1 NA 23A;1;1158_2023
2c96e486/8a71863a/018a/88cda591/6128;Austritt 22-23;1;1158_2023
2c96e486/82a1dc73/0182/cf8f27c2/1b63;Schüler ohne Klassenzuordnung;1;1158_2022
2c96949a/86e40b69/0186/ef3d5fd8/027b;BS EHE 23B;1;1158_2024
2c96e486/7ac37826/017a/cce6d604/16e9;HBF ME 23A;1;1158_statistik_2023
2c969491/7b4d6a95/017b/4e2bd918/026f;BS MA 21;MA21;1158_2023
2c968186/67cbe214/0167/cc0a7f79/0d85;Schüler ohne Klassenzuordnung;1;1158_statistik_2021
2c9694ae/81d74485/0181/d8145dd5/0051;BS BV/KV 22;FLB22;1158_2022
2c9681e7/73c76956/0173/c7732448/0030;FS APZ 20;1;1158_2022
2c96e486/915515a9/0191/6f3f41e0/52e2;BS EIA 24;1;1158_2024
2c96949a/8146f5cd/0181/47526abe/00ac;BS EHE 22;1;1158_2021
2c96e486/915515a9/0191/6fd88677/32fd;BS FI 24A;FIDP;1158_2024
2c969491/82f2830b/0182/f367f0b4/0276;BS ML 22;ML22;1158_2023
2c96e486/82a1dc73/0182/cf755d31/0e58;Austritt 23-24;1;1158_2024
