2c96949d/79e58627/0179/e67d890d/0247;Linden;Restaurant Lindenhof & Fetzer GmbH;
2c9694a0/916963be/0191/69cdbb2c/0186;Malermeister Mayer;Malermeister Mayer;
2c968186/67cbe214/0167/cbf269ff/04ef;EL000043;Bressler Elektro und Sicherheitstechnik;""
2c968105/6be4b5a3/016b/e5919723/0402;EL2011150;Kirchhoff Datensysteme Software GmbH & Co. KG;
2c9681fb/6e1b621a/016e/1bdb7fc0/00c2;BAU00970;Biess Natursteinimport GmbH;
2c96949d/79e58627/0179/e685d593/0269;Trinkhorn;Zum Gläsernen Trinkhorn;
2c968186/67cbe214/0167/cbf2a986/0883;EL00140;ENERGETIX GmbH & Co. KG;
2c969491/7b61fb62/017b/62884b79/0233;BAU210826;Naturstein Juny GmbH;
2c968186/67cbe214/0167/cbf2d69f/0b2f;EHG00422;Globus Handeslhof GmbH & CoKG;""
2c968186/67cbe214/0167/cbf2fafe/0d7a;EL000050;Information Desire Software GmbH;""
2c9681e8/6ca9bc3d/016c/a9c48c51/00b5;ME2011139;Roman Mayer GmbH;Niederlassung Worms
2c968186/67cbe214/0167/cbf3defc/1ad5;EHG00582;Zum Goldstein;""
2c968186/67cbe214/0167/cbf3adfb/17f6;EHG00502;Studierenden Werk Mainz;""
2c968186/67cbe214/0167/cbf346aa/11c2;ME201132;Emig Metallverarbeitung GmbH;
2c9681ec/722c9ea8/0172/2c9fdeba/0002;EL201149;DRK Landesverband Rheinland-Pfalz e.V.;
2c968186/67cbe214/0167/cbf3b984/18af;EL00127;UDG Rhein-Main GmbH;
2c969491/7ba4ed30/017b/a576152d/01e9;EL210928;Emrah Gündogdu;G&E Elektrotechnik
2c9681e7/70526aea/0170/5288307a/008b;BAU2011102;Gerhard-Schlacht-GmbH;
2c9681ec/6b68fe2f/016b/69aba684/0184;BAU00591;Holger Wichmann Malermeister;
2c968186/67cbe214/0167/cbf37162/1453;MED00314;PM International AG;""
2c968186/67cbe214/0167/cbf21ec1/00bc;EHG00057;Accor Hospitality Germany GmbH;""
2c968186/67cbe214/0167/cbf3844d/156c;ALLG0216;Ritter Steinmetzarbeiten;""
2c96949d/91e55fdb/0191/ff542cc6/05a5;Dawn;dawn concepts;
2c96949a/88e6e6af/0188/e6fd4da1/0027;EL345ß8934t;HeiSan GmbH & Co. KG;
2c969491/7b860032/017b/86ccd0c8/04bb;EL210919;Christian Martin Glaser;
2c968186/67cbe214/0167/cbf2ff82/0dc5;EL201139;interexa GbmH;
2c969491/8804bd04/0188/04ca2f9b/003c;BAU230510;Winkler GmbH;
2c969491/7b80dd38/017b/81c33a88/042f;EL210905;De Dietrich Process Systems GmbH;
2c968186/67cbe214/0167/cbf28120/0636;MED00301;Design & Media;""
2c968186/67cbe214/0167/cbf2849a/066b;EL000242;Die Reparaturwekstatt;""
2c968186/67cbe214/0167/cbf34070/1186;ALLG0299;Medialine Euro Trade AG;""
2c968186/67cbe214/0167/cbf29ad1/07af;EL000257;Elektro Jung;
2c968186/67cbe214/0167/cbf31bd3/0f6b;BAU00609;Krasniqi Steinmetz und Steinbildhauer;""
2c968186/67cbe214/0167/cbf25acd/041a;BAU00505;Beicht Bau GmbH;""
2c9681ec/6b975c73/016b/979fe554/0204;BAU00914;Grabmal Kuhn, Rudolf Kuhn;
